id,created,project_id,task_id,user_id,user_ip,finish_time,info_0_value,info_0_question
206099,2023-05-23T11:21:06.046482,728,266514,826.0,,2023-05-23T11:23:31.548362,Edible,Is this mushroom classified as edible or non-edible?
206100,2023-05-23T11:23:19.553878,728,266341,834.0,,2023-05-23T11:23:32.661150,Edible,Is this mushroom classified as edible or non-edible?
206101,2023-05-23T11:23:32.976553,728,266343,834.0,,2023-05-23T11:23:34.238987,Non-edible,Is this mushroom classified as edible or non-edible?
206102,2023-05-23T11:23:31.730817,728,266516,826.0,,2023-05-23T11:23:34.301954,Non-edible,Is this mushroom classified as edible or non-edible?
206103,2023-05-23T11:23:34.463811,728,266520,826.0,,2023-05-23T11:23:35.673766,Edible,Is this mushroom classified as edible or non-edible?
206104,2023-05-23T11:23:34.610303,728,266506,834.0,,2023-05-23T11:23:37.038063,I don't know,Is this mushroom classified as edible or non-edible?
206105,2023-05-23T11:23:35.837413,728,266522,826.0,,2023-05-23T11:23:37.882504,Non-edible,Is this mushroom classified as edible or non-edible?
206106,2023-05-23T11:23:38.118305,728,266525,826.0,,2023-05-23T11:23:39.563319,Non-edible,Is this mushroom classified as edible or non-edible?
206107,2023-05-23T11:23:37.328243,728,266508,834.0,,2023-05-23T11:23:39.846859,Edible,Is this mushroom classified as edible or non-edible?
206108,2023-05-23T11:23:39.741478,728,266527,826.0,,2023-05-23T11:23:40.809393,Edible,Is this mushroom classified as edible or non-edible?
206109,2023-05-23T11:23:40.063792,728,266510,834.0,,2023-05-23T11:23:41.716530,Non-edible,Is this mushroom classified as edible or non-edible?
206110,2023-05-23T11:23:41.038443,728,266530,826.0,,2023-05-23T11:23:42.211165,Non-edible,Is this mushroom classified as edible or non-edible?
206111,2023-05-23T11:23:42.407475,728,266533,826.0,,2023-05-23T11:23:43.628374,Edible,Is this mushroom classified as edible or non-edible?
206112,2023-05-23T11:23:41.934408,728,266512,834.0,,2023-05-23T11:23:45.214046,I don't know,Is this mushroom classified as edible or non-edible?
